bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-11_task-1_bold	0.0011850789473684211	0.01529528810526316	0	17.831090652744074	0.978245016332454	0.8862711385751977	0.5841	412.3686	0.06892530783441006	9	2.3684210526315788	2.9482671171242685	3.0156266666666665	2.995556666666667	2.833618018039471	0.0109498	0.010546691715717316	0.023466946557164192	380	70	70	38	2.785284668420328	2.4509999752044678	3.0	3.0	3.3000001907348633	21.9702	58.2818	1256.5098	575.0	135229.0	532.0	5144.0	1838.174	0.487	3726.0168	11649.801	11680.0	50971.0	3612.0	18348.0	4193.4261	49.44289310509339
sub-11_task-2_bold	0.003156789473684211	0.01875026057894737	0	19.278332438575195	1.041893814353561	0.9284094642216356	0.5844	406.5406	0.09686989910059031	33	8.68421052631579	2.9631584287118375	3.009313333333333	2.966416666666667	2.9137452861355126	0.0118761	0.009662246331572533	0.022633103653788567	380	70	70	38	2.7651102109950307	2.4509999752044678	3.0	3.0	3.3000001907348633	24.1072	62.0234	1278.512	580.0	135439.0	534.0	5268.0	1878.643	0.4697	3793.2856	11704.2226	11689.0	50761.0	3762.0	18514.0	4227.2763	43.07853212323971
sub-12_task-1_bold	0.0049349473684210535	0.018467551657894737	0	16.953954459868083	0.9295351206860157	0.9363852215303432	0.5676	343.939	0.08657061951833654	28	7.368421052631579	2.9284424379197542	2.9108699999999996	3.034796666666667	2.839660647092597	0.00700035	0.0020981980487704277	0.024213626980781555	380	70	70	38	2.6353548085518095	2.4509999752044678	3.0	3.0	3.299999952316284	32.5872	89.1318	1172.0575	622.0	139829.0	557.0	4020.0	1480.992	0.1479	4268.0889	11563.538	11544.0	46371.0	4061.0	18734.0	4380.3876	40.09614889626391
sub-12_task-2_bold	0.0043915000000000004	0.00790828455263158	0	20.46062199	1.0619046246174142	0.9969076671240099	0.5634	349.669	0.12572977281861852	61	16.05263157894737	2.8876609226650634	2.87331	2.9714333333333336	2.8182394346618573	0.019075	0.003306604688987136	0.0257562268525362	380	70	70	38	2.5756831364719828	2.4509999752044678	3.0	3.0	3.299999952316284	33.1666	85.9441	1151.4614	621.0	139972.0	558.0	3950.0	1441.01	0.1489	4344.2887	11600.985	11610.5	46228.0	3687.0	18895.0	4507.6874	52.54537339811213
sub-13_task-1_bold	0.004798126649076517	0.01832550899736148	1	21.99842070044972	1.0731615891005288	0.9379372335714284	0.539	490.0342	0.11414275672339741	33	8.70712401055409	2.68206900241282	2.6872666666666665	2.7608433333333333	2.59809700723846	0.0080229	-0.0039642066694796085	0.024736277759075165	379	70	70	38	2.8431882931469805	2.4509999752044678	3.0	3.0	3.299999952316284	81.6878	33.7047	921.7659	563.0	140087.0	537.0	2717.0	1187.0558	0.5536	3844.5352	12449.0744	12455.0	46113.0	4078.0	19442.0	4380.598	40.27338728075847
sub-13_task-2_bold	0.002291398416886543	0.007862597994722956	1	23.684467426534386	1.1747785442063494	0.9976397656084657	0.5373	487.0582	0.13648417250918665	66	17.41424802110818	2.658042840709085	2.6719933333333334	2.72222	2.579915188793922	0.0145241	-0.004199882037937641	0.026668107137084007	379	70	70	38	2.782217333026654	2.4509999752044678	3.0	3.0	3.299999952316284	90.4537	33.3605	921.891	565.0	140196.0	539.0	2731.0	1184.7821	0.5916	3950.0389	12491.9812	12460.0	46004.0	4111.0	19711.0	4478.3937	53.12423089402728
sub-14_task-1_bold	0.004999473684210526	0.011028938421052632	0	19.942460985963056	1.0610166119525068	0.9417433667018469	0.5559	439.2318	0.10728261669896887	23	6.052631578947368	2.9581697108723533	2.8867966666666667	3.10127	2.8864424659503944	0.00542776	-0.017265722155570984	0.04073551297187805	380	70	70	38	2.62041118337538	2.4509999752044678	3.0	3.0	3.299999952316284	60.5571	52.8625	1129.6369	588.0	138663.0	549.0	3689.0	1634.6818	0.5126	4279.3764	12363.6025	12316.0	47537.0	3674.0	19967.0	4699.9763	50.34807874588296
sub-14_task-2_bold	0.002262263157894737	0.005599949157894736	0	22.778204447519794	1.1564922624538259	0.9707579900791558	0.5551	439.8451	0.11597480960779996	34	8.947368421052632	2.882414761001948	2.8309766666666665	3.0077766666666665	2.8084909496725103	0.00905408	-0.01696001924574375	0.04115411639213562	380	70	70	38	2.624321984025731	2.4509999752044678	3.0	3.0	3.299999952316284	59.4919	52.2656	1133.1062	589.0	139028.0	551.0	3748.0	1623.3432	0.5657	4290.1513	12423.9806	12362.0	47172.0	3820.0	20031.0	4710.5001	60.364910988137126
sub-15_task-1_bold	0.005929920844327177	0.007494310422163589	1	17.81812970613755	1.0597254405555547	0.9815145042063489	0.5706	436.7441	0.04675124523845328	2	0.5277044854881267	2.793120215452531	2.77417	2.8163966666666664	2.788793979690927	0.00484361	-0.007942273281514645	0.049246277660131454	379	70	70	38	2.773902307997009	2.4509999752044678	3.0	3.0	3.299999952316284	48.402	51.8676	1128.2277	566.0	135369.0	528.0	3849.0	1728.4976	1.0038	3756.4362	12297.9016	11825.0	50831.0	6117.0	19892.0	4262.9056	54.63597565703094
sub-15_task-2_bold	0.003091134564643799	0.006091419525065963	1	17.635143333042336	1.072267682010582	0.9528977399735444	0.5693	436.2144	0.04324118567827075	2	0.5277044854881267	2.7512670838771904	2.7328233333333336	2.7866233333333335	2.734354584964905	0.00477509	-0.006527343299239874	0.04327523708343506	379	70	70	38	2.730847698232006	2.4509999752044678	3.0	3.0	3.299999952316284	42.5824	55.2279	1108.8326	572.0	135334.0	532.0	3796.0	1580.3283	1.0042	3802.47	12436.414	11949.0	50866.0	6066.0	20332.0	4375.5214	60.86993168632034
